Variation,Inclination,a,b,d,Matrix1.CplCoef(V_Outer1 V_Inner1),Matrix1.CplCoef(V_Outer2 V_Inner2)
254,10deg,2.5,3,20,-0.610512068,-0.628296018
164,5deg,2.5,3,20,-0.615329945,-0.624371107
74,0deg,2.5,3,20,-0.618708602,-0.619048027
253,10deg,2.5,3,10,-0.583638407,-0.592561463
163,5deg,2.5,3,10,-0.58654583,-0.590504308
73,0deg,2.5,3,10,-0.587782685,-0.588007953
257,10deg,2.5,3.5,20,-0.568865712,-0.587284782
167,5deg,2.5,3.5,20,-0.572882518,-0.582024978
77,0deg,2.5,3.5,20,-0.577631718,-0.57772287
255,10deg,2.5,3,30,-0.544339205,-0.572052906
165,5deg,2.5,3,30,-0.551194496,-0.564980032
75,0deg,2.5,3,30,-0.556730718,-0.556874476
260,10deg,2.5,4,20,-0.529834516,-0.548389491
170,5deg,2.5,4,20,-0.534122047,-0.543818318
256,10deg,2.5,3.5,10,-0.53112725,-0.540158094
80,0deg,2.5,4,20,-0.539659468,-0.540031108
166,5deg,2.5,3.5,10,-0.533334474,-0.538143397
76,0deg,2.5,3.5,10,-0.535826479,-0.535683464
263,10deg,2.5,4.5,20,-0.494786737,-0.513593551
173,5deg,2.5,4.5,20,-0.49829447,-0.508111605
83,0deg,2.5,4.5,20,-0.504312457,-0.5041066
258,10deg,2.5,3.5,30,-0.463983457,-0.491678795
259,10deg,2.5,4,10,-0.477637411,-0.486245082
168,5deg,2.5,3.5,30,-0.470514651,-0.484208315
169,5deg,2.5,4,10,-0.478954799,-0.483584226
79,0deg,2.5,4,10,-0.480433946,-0.480166182
266,10deg,2.5,5,20,-0.460271424,-0.479693319
78,0deg,2.5,3.5,30,-0.477669331,-0.47727105
176,5deg,2.5,5,20,-0.465750783,-0.475459677
81,0deg,2.5,4,30,-,-
82,0deg,2.5,4.5,10,-0.413381069,-0.413343786
84,0deg,2.5,4.5,30,-,-
85,0deg,2.5,5,10,-,-
86,0deg,2.5,5,20,-0.469824395,-0.4698091
87,0deg,2.5,5,30,-,-
88,0deg,2.5,5.5,10,-,-
89,0deg,2.5,5.5,20,-0.438817926,-0.438765198
90,0deg,2.5,5.5,30,-,-
171,5deg,2.5,4,30,-,-
172,5deg,2.5,4.5,10,-0.41094824,-0.415405281
174,5deg,2.5,4.5,30,-,-
175,5deg,2.5,5,10,-,-
177,5deg,2.5,5,30,-,-
178,5deg,2.5,5.5,10,-,-
179,5deg,2.5,5.5,20,-0.434594924,-0.443384423
180,5deg,2.5,5.5,30,-,-
261,10deg,2.5,4,30,-,-
262,10deg,2.5,4.5,10,-0.407338648,-0.416371246
264,10deg,2.5,4.5,30,-,-
265,10deg,2.5,5,10,-,-
267,10deg,2.5,5,30,-,-
268,10deg,2.5,5.5,10,-,-
269,10deg,2.5,5.5,20,-0.429659345,-0.448426931
270,10deg,2.5,5.5,30,-,-
434,20deg,2.5,3,20,-0.602894852,-0.639693624
344,15deg,2.5,3,20,-0.606124254,-0.633153324
437,20deg,2.5,3.5,20,-0.559722324,-0.598026036
433,20deg,2.5,3,10,-0.578874826,-0.596654621
343,15deg,2.5,3,10,-0.580897263,-0.594636769
347,15deg,2.5,3.5,20,-0.563953206,-0.591648885
435,20deg,2.5,3,30,-0.53014798,-0.586238556
345,15deg,2.5,3,30,-0.536821935,-0.578499246
440,20deg,2.5,4,20,-0.520217957,-0.559033184
350,15deg,2.5,4,20,-0.525395967,-0.554039786
436,20deg,2.5,3.5,10,-0.527529402,-0.546381675
346,15deg,2.5,3.5,10,-0.529009061,-0.542817716
443,20deg,2.5,4.5,20,-0.485625724,-0.524430622
353,15deg,2.5,4.5,20,-0.490616107,-0.517858291
438,20deg,2.5,3.5,30,-0.452007826,-0.508464587
348,15deg,2.5,3.5,30,-0.458111226,-0.499239773
439,20deg,2.5,4,10,-0.472648925,-0.49136275
446,20deg,2.5,5,20,-0.452259742,-0.4905823
349,15deg,2.5,4,10,-0.475301156,-0.488869591
356,15deg,2.5,5,20,-0.456324856,-0.484860392
449,20deg,2.5,5.5,20,-0.420987062,-0.45927184
351,15deg,2.5,4,30,-,-
352,15deg,2.5,4.5,10,-0.40786822,-0.421010262
354,15deg,2.5,4.5,30,-,-
355,15deg,2.5,5,10,-,-
357,15deg,2.5,5,30,-,-
358,15deg,2.5,5.5,10,-,-
359,15deg,2.5,5.5,20,-0.425011907,-0.453519439
360,15deg,2.5,5.5,30,-,-
441,20deg,2.5,4,30,-,-
442,20deg,2.5,4.5,10,-0.404393646,-0.422557136
444,20deg,2.5,4.5,30,-,-
445,20deg,2.5,5,10,-,-
447,20deg,2.5,5,30,-,-
448,20deg,2.5,5.5,10,-,-
450,20deg,2.5,5.5,30,-,-
326,15deg,2,3,20,-0.606124254,-0.633153324
236,10deg,2,3,20,-0.610512068,-0.628296018
146,5deg,2,3,20,-0.615329945,-0.624371107
56,0deg,2,3,20,-0.618708602,-0.619048027
325,15deg,2,3,10,-0.580897263,-0.594636769
235,10deg,2,3,10,-0.583638407,-0.592561463
329,15deg,2,3.5,20,-0.563953206,-0.591648885
145,5deg,2,3,10,-0.58654583,-0.590504308
55,0deg,2,3,10,-0.587782685,-0.588007953
239,10deg,2,3.5,20,-0.568865712,-0.587284782
149,5deg,2,3.5,20,-0.572882518,-0.582024978
327,15deg,2,3,30,-0.536821935,-0.578499246
59,0deg,2,3.5,20,-0.577631718,-0.57772287
237,10deg,2,3,30,-0.544339205,-0.572052906
147,5deg,2,3,30,-0.551194496,-0.564980032
57,0deg,2,3,30,-0.556730718,-0.556874476
332,15deg,2,4,20,-0.525395967,-0.554039786
242,10deg,2,4,20,-0.529834516,-0.548389491
152,5deg,2,4,20,-0.534122047,-0.543818318
328,15deg,2,3.5,10,-0.529009061,-0.542817716
238,10deg,2,3.5,10,-0.53112725,-0.540158094
62,0deg,2,4,20,-0.539659468,-0.540031108
148,5deg,2,3.5,10,-0.533334474,-0.538143397
58,0deg,2,3.5,10,-0.535826479,-0.535683464
335,15deg,2,4.5,20,-0.490616107,-0.517858291
245,10deg,2,4.5,20,-0.494786737,-0.513593551
155,5deg,2,4.5,20,-0.49829447,-0.508111605
65,0deg,2,4.5,20,-0.504312457,-0.5041066
330,15deg,2,3.5,30,-0.458111226,-0.499239773
240,10deg,2,3.5,30,-0.463983457,-0.491678795
331,15deg,2,4,10,-0.475301156,-0.488869591
241,10deg,2,4,10,-0.477637411,-0.486245082
150,5deg,2,3.5,30,-0.470514651,-0.484208315
151,5deg,2,4,10,-0.478954799,-0.483584226
61,0deg,2,4,10,-0.480433946,-0.480166182
248,10deg,2,5,20,-0.460271424,-0.479693319
60,0deg,2,3.5,30,-0.477669331,-0.47727105
158,5deg,2,5,20,-0.465750783,-0.475459677
63,0deg,2,4,30,-,-
68,0deg,2,5,20,-0.469824395,-0.4698091
71,0deg,2,5.5,20,-0.438817926,-0.438765198
64,0deg,2,4.5,10,-0.413381069,-0.413343786
66,0deg,2,4.5,30,-,-
67,0deg,2,5,10,-,-
69,0deg,2,5,30,-,-
70,0deg,2,5.5,10,-,-
72,0deg,2,5.5,30,-,-
153,5deg,2,4,30,-,-
154,5deg,2,4.5,10,-0.41094824,-0.415405281
156,5deg,2,4.5,30,-,-
157,5deg,2,5,10,-,-
159,5deg,2,5,30,-,-
160,5deg,2,5.5,10,-,-
161,5deg,2,5.5,20,-0.434594924,-0.443384423
162,5deg,2,5.5,30,-,-
243,10deg,2,4,30,-,-
244,10deg,2,4.5,10,-0.407338648,-0.416371246
